Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
,"67,500",1190201,I,,,Common Stock,,
347,"9,313",1393052,D,0,A,Class A Common Stock,M,12/20/2019
64,"5,359",102729,D,148.29,D,Common Stock,F,12/19/2019
38,"4,293",102729,D,148.29,D,Common Stock,F,12/19/2019
206,"26,595",102729,D,148.29,D,Common Stock,F,12/19/2019
,401,102729,I,,,Common Stock,,
31,"3,090",102729,D,148.29,D,Common Stock,F,12/19/2019
"10,548","173,384",1035002,D,0,A,,A,12/18/2019
"3,860","300,379",1627475,D,0,A,Common Stock,M,12/18/2019
"1,380","298,999",1627475,D,10.82,D,Common Stock,S,12/18/2019
,"2,088,818",1388319,D,,,Common Stock,,
,"3,023,782",1388319,I,,,Common Stock,,
,"9,793",1388319,D,,,Common Stock,,
250,"14,544",1073429,D,41.72,D,Common stock,S,12/19/2019
,"1,941",1388319,D,,,Common Stock,,
,"11,000",1388319,D,,,Common Stock,,
,"31,332,098",1388319,I,,,Common Stock,,
"10,000","89,183",1747079,D,25.274,D,Common Stock,S,12/19/2019
900,"88,283",1747079,D,0,D,Common Stock,G,12/19/2019
,"3,409",1747079,I,,,Common Stock,,
,"526,942",1388319,I,,,Common Stock,,
"8,532","440,504",914156,D,0,A,,A,12/18/2019
"4,919","435,585",914156,D,46.88,D,,F,12/18/2019
,"1,301,298",1595893,D,,,Common Stock,,
"3,730","980,989",1595893,I,57.76,D,Common Stock,S,12/18/2019
"3,898","977,091",1595893,I,58.48,D,Common Stock,S,12/18/2019
"7,802","969,289",1595893,I,59.78,D,Common Stock,S,12/18/2019
"3,070","966,219",1595893,I,60.38,D,Common Stock,S,12/18/2019
"1,400","964,819",1595893,I,59.84,D,Common Stock,S,12/19/2019
"9,230","955,589",1595893,I,60.69,D,Common Stock,S,12/19/2019
"4,970","950,619",1595893,I,61.48,D,Common Stock,S,12/19/2019
"2,900","947,719",1595893,I,62.33,D,Common Stock,S,12/19/2019
"1,400","946,319",1595893,I,62.64,D,Common Stock,S,12/20/2019
"8,500","937,819",1595893,I,63.42,D,Common Stock,S,12/20/2019
"1,600","936,219",1595893,I,63.99,D,Common Stock,S,12/20/2019
201,"53,123",1719439,D,26.02,D,Common Units,F,12/20/2019
325,325,1333516,D,8,A,Common stock,P,12/18/2019
"9,220","75,853",1595585,I,38.9,D,Common Stock,S,12/18/2019
"18,440","57,413",1595585,I,38.91,D,Common Stock,S,12/18/2019
"3,987","53,426",1595585,I,38.93,D,Common Stock,S,12/18/2019
103,"53,323",1595585,I,39.66,D,Common Stock,S,12/18/2019
,"575,321",1595585,D,,,Common Stock,,
200,"6,662",1657025,D,6.54,A,Common Stock,M,12/18/2019
200,"6,462",1657025,D,34.99,D,Common Stock,S,12/18/2019
,,1647805,6/19/2029,,"137,617",Stock Option (right to buy),,7.86
,,1647805,7/28/2029,,893,Stock Option (right to buy),,7.86
,,1647805,10/20/2029,,"11,488",Stock Option (right to buy),,8.43
,,1647805,11/19/2029,,"3,765",Stock Option (right to buy),,8.43
"1,045","7,407",1777926,D,30.35,A,Common Stock,M,12/19/2019
361,"7,046",1777926,D,30.35,D,Common Stock,F,12/19/2019
,990,1777926,I,,,Common Stock,,
"1,250","1,250",1704251,D,0,A,Common Shares,M,12/18/2019
480,770,1704251,D,52.13,D,Common Shares,F,12/18/2019
,"1,614",1704251,I,,,Common Shares,,
495,494,1768239,D,60,D,Common Stock,S,12/19/2019
"700,000","212,316",1505628,I,85.697,D,Class A Common Stock,S,12/19/2019
,"27,431",1505628,I,,,Class A Common Stock,,
"6,960","22,765.08",1702770,D,108.92,A,Common Stock,M,12/19/2019
"5,812","16,953.08",1702770,D,147.47,D,Common Stock,F,12/19/2019
"4,693","21,646.08",1702770,D,99.9,A,Common Stock,M,12/19/2019
